19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,35:8,19:0,35:8,19:0,35:8,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,35:8,35:8,35:8,35:8,35:8,35:8,35:8,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,35:8,35:8,35:7,35:8,35:8,35:8,35:7,35:8,35:8,19:0,19:0,19:0
19:0,19:0,19:0,35:8,35:8,35:7,35:8,35:8,35:8,35:8,35:8,35:7,35:8,35:8,19:0,19:0
19:0,19:0,19:0,19:0,35:8,35:8,35:8,98:0,98:0,98:0,35:8,35:8,35:8,19:0,19:0,19:0
19:0,19:0,19:0,35:8,35:8,35:8,35:8,98:0,-119:0,98:0,35:8,35:8,35:8,35:8,19:0,19:0
19:0,19:0,19:0,19:0,35:8,35:8,35:8,98:0,98:0,98:0,35:8,35:8,35:8,19:0,19:0,19:0
19:0,19:0,19:0,35:8,35:8,35:7,35:8,35:8,35:8,35:8,35:8,35:7,35:8,35:8,19:0,19:0
19:0,19:0,19:0,19:0,35:8,35:8,35:7,35:8,35:8,35:8,35:7,35:8,35:8,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,35:8,35:8,35:8,35:8,35:8,35:8,35:8,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,35:8,19:0,35:8,19:0,35:8,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,-104:0,19:0,4:0,19:0,-104:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,17:0,124:0,35:7,-102:0,35:7,124:0,17:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,17:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,17:0,19:0,19:0,19:0
19:0,19:0,19:0,-104:0,124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0,-104:0,19:0,35:8
19:0,19:0,19:0,19:0,35:7,0:0,0:0,101:0,101:0,101:0,0:0,0:0,35:7,19:0,19:0,35:8
19:0,19:0,19:0,4:0,4:0,65:5,0:0,101:0,0:0,101:0,0:0,0:0,-102:0,4:0,19:0,19:0
19:0,19:0,19:0,19:0,35:7,0:0,0:0,101:0,101:0,101:0,0:0,0:0,35:7,19:0,19:0,19:0
19:0,19:0,19:0,-104:0,124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0,-104:0,19:0,19:0
19:0,19:0,19:0,19:0,17:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,17:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,17:0,124:0,35:7,-102:0,35:7,124:0,17:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,-104:0,19:0,4:0,19:0,-104:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,35:8,35:8,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,35:8,35:8,35:8,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,35:8,35:8,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,35:8,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,4:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,17:0,35:8,35:7,0:0,35:7,35:8,17:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,17:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,17:0,19:0,35:8,35:8
19:0,19:0,19:0,19:0,35:8,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:8,19:0,35:8,93:12
4:0,19:0,19:0,19:0,35:7,0:0,0:0,101:0,101:0,101:0,0:0,0:0,35:7,19:0,35:8,93:12
4:0,4:0,4:0,4:0,4:0,65:5,0:0,101:0,0:0,101:0,0:0,0:0,0:0,4:0,35:8,35:8
4:0,4:0,19:0,19:0,35:7,0:0,0:0,101:0,101:0,101:0,0:0,0:0,35:7,19:0,19:0,35:8
19:0,19:0,19:0,19:0,35:8,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:8,19:0,19:0,19:0
19:0,19:0,19:0,19:0,17:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,17:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,17:0,35:8,35:7,0:0,35:7,35:8,17:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,4:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0
