0:0,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,0:0
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
